Código,Segmento
KNIP11,Recebíveis
XPML11,Shopping
HGLG11,Logística
KNRI11,Híbrido
BTLG11,Logística
MXRF11,Híbrido
VISC11,Shopping
XPLG11,Logística
IRDM11,Recebíveis
CPTS11,Recebíveis
HGRU11,Híbrido
PVBI11,Lajes Corporativas
KNHY11,Recebíveis
HGBS11,Shopping
TGAR11,Desenvolvimento
KDIF11,Infraestrutura
RECR11,Recebíveis
BRCR11,Híbrido
HCTR11,Recebíveis
HSML11,Shopping
KNCA11,Fiagro
JSRE11,Híbrido
JURO11,Infraestrutura
TRXF11,Híbrido
BTHF11,Híbrido
LVBI11,Logística
GZIT11,Híbrido
KNHF11,Híbrido
BRCO11,Logística
HGRE11,Lajes Corporativas
RZTR11,Híbrido
KNSC11,Recebíveis
MALL11,Shopping
VILG11,Logística
RBVA11,Híbrido
HFOF11,Fundos
PFIN11,FIP
RURA11,Fiagro
TVRI11,Agências Bancárias
MCCI11,Recebíveis
KNUQ11,Recebíveis
GGRC11,Logística
IFRA11,Infraestrutura
HGCR11,Recebíveis
BDIF11,Infraestrutura
VGIR11,Recebíveis
VGHF11,Híbrido
CDII11,Infraestrutura
RBRR11,Recebíveis
VCJR11,Recebíveis
DEVA11,Recebíveis
GARE11,Híbrido
VRTA11,Recebíveis
HSLG11,Logística
ALZR11,Híbrido
CPTI11,Infraestrutura
BROF11,Híbrido
GSFI11,Shopping
MCLO11,Logística
RBRY11,Recebíveis
GTWR11,Lajes Corporativas
URPR11,Outros
RBRF11,Fundos
XPIE11,FIP
MCRE11,Recebíveis
VGIP11,Recebíveis
IFRI11,Infraestrutura
KORE11,Lajes Corporativas